,CENPF,SHISA2,IGFBPL1,BCAT1,LDHA,STMN2,HMGB2,TRIM59,EGR1,NFIA,NUSAP1,TOP2A,ANP32E,BAG4,KPNA2,CNTNAP2,LIX1,C3orf70,CCNG1,AXL,ANXA2,STON2,VIM,LOC150568,TGFBR1,BIRC5,ASPM,CACUL1,SOX9,SLA,FOS,SFRP1,LCLAT1,RELL1,DDAH1,CDV3,ZIC2,SLC39A10,EIF4B,CDO1,TLK1,PTTG1,SPARC,PRKCA,KNSTRN,CCNB1,MEF2C,USP31,CKS2,CCNB2,CDK1,GLT25D1,RND3,TMPO,FGF12,CD59,SLC35F1,FZD3,PIP4K2A,RRM1
Hi_NPC_11,1883,11234,0,2192,7602,1,1698,3203,0,0,555,55,15324,1042,1136,4858,3187,115,2138,723,1430,289,4236,578,1601,134,10,897,2027,0,121,317,1051,0,309,5079,2185,2162,500,602,230,381,3177,0,272,2,0,1521,983,1014,1525,2646,635,2035,493,159,371,3385,749,2638
Hi_NPC_9,422,14027,1782,5441,9346,1,1920,271,1793,0,917,1669,10201,4377,1531,5014,4157,2920,70,3402,1069,3,3595,318,715,927,359,3217,1764,0,884,1339,2346,1195,8461,469,2406,3941,3755,70,2661,1261,1746,132,1213,40,49,0,396,0,110,1866,29,2432,1,99,1041,821,432,4747
Hi_NPC_4,1886,10439,3,11350,11525,1,3388,793,396,0,6453,1946,7923,3,4527,76,2961,927,5695,1980,1808,1708,1276,0,8,102,5365,0,3274,0,4,262,2,1891,484,512,780,204,2,0,2218,6,1566,0,119,1280,0,1019,175,1,3686,2216,975,975,0,10,771,2209,0,3478
Hi_GW16_14,2563,619,32372,0,210,1,1695,825,23497,2357,4741,9482,4837,2,2004,0,0,1251,74,1,0,928,0,1317,0,1022,400,0,2,1,1153,62,1,4461,0,1,0,137,0,127,748,887,88,1,2647,1296,2,0,1003,1462,436,692,0,8437,3,0,271,270,1,1321
Hi_GW16_22,13531,5254,62790,2,7,6,11546,2128,61512,4091,7935,26501,27938,7507,15798,0,0,1,0,0,0,3714,3821,635,1241,3525,10541,0,7009,1,44642,8275,34,7258,0,5375,0,0,100,3741,1,1571,0,201,5683,8549,4,86,1916,694,13080,126,0,4930,1,1,0,1,4731,6
Hi_GW21_8,5021,0,9,2280,8828,16,2911,4807,9781,3864,425,12292,25476,0,3813,0,2237,2620,9,1,22236,0,13640,0,6,6767,3204,3717,3374,1,9498,0,1,2,4,6366,751,2,1357,0,182,4540,5993,5,3722,3715,0,6,1609,1672,0,1108,1393,2873,0,5610,4230,1530,2213,4
Hi_GW21+3_15,1445,959,1375,523,295,5282,722,1162,5943,1857,1398,6216,3846,399,1203,75,0,1353,1,551,1,500,177,875,1,556,612,2210,851,1057,522,819,1,302,534,1703,0,2000,335,403,1477,345,122,1501,274,501,5342,392,678,399,1644,621,477,471,706,2,4849,313,1070,981
Hi_GW21+3_4,2201,332,4,0,343,1213,2741,1404,5757,1336,2221,4110,7498,1456,879,1657,0,1254,0,0,1786,1,610,0,613,816,546,511,1237,3,976,83,1118,1658,1219,0,344,249,37,168,3648,312,540,75,543,170,3943,0,576,150,300,548,2,1206,309,0,2254,1394,217,1190
Hi_GW16_6,0,0,7062,1056,0,1464,45,187,3250,102,0,0,933,139,593,0,0,1243,677,1,5,680,714,1,752,0,0,30,1,28,3866,2,0,11799,0,0,2814,1631,51,3,2703,0,2059,0,0,0,980,1151,3,0,0,874,0,312,0,164,0,0,43,1059
Hi_GW21+3_2,763,0,1,1,723,6,337,1205,3266,1419,57,1940,6675,1547,311,0,0,2190,1,1,1,3,4,3,1,4,0,1902,1379,0,78,0,2,141,0,1,3,0,1,0,5989,0,946,3715,0,1,7,0,38,0,0,0,0,821,1,0,2584,1375,1503,36
Hi_GW21+3_11,1896,0,4166,0,714,2156,1282,1268,1769,2180,1598,3240,4712,3,3030,0,0,742,720,0,1,1404,1,1081,1491,612,947,257,26,194,1,0,0,316,0,947,0,66,624,0,1,256,76,52,99,78,939,0,387,122,502,9,2556,1084,1,0,1773,536,147,496
Hi_GW16_13,0,155,0,0,568,0,1270,0,19804,10901,16,0,0,0,9852,0,3254,0,1162,0,358,2960,7114,1601,0,0,0,0,3999,0,34772,2257,0,0,15369,293,1555,2017,2128,18720,5412,0,15236,762,0,0,0,11457,0,0,0,0,1,1543,0,2198,3255,0,25,0
Hi_GW16_25,1,0,26,0,4,7,2,464,10348,10431,0,0,380,1002,0,447,0,1954,3062,0,298,0,2668,1252,6917,0,0,40,0,0,0,2023,0,0,9179,37,0,0,0,3506,3974,24,4094,0,0,0,0,0,175,0,0,0,6,0,2,0,924,0,2,0
Hi_GW16_17,3094,2364,7,0,3848,3,1,0,15268,4265,1,2,8718,1,0,0,0,1302,0,0,1647,5095,6634,1,1,0,0,1544,5020,1,2361,5684,4132,674,1600,9608,0,0,4,7927,5627,54,2945,0,1,0,78,20,1277,0,0,2,3571,35,1,1,13,3122,0,0
Hi_GW16_15,0,4611,1,0,6857,3,1,2956,47222,3372,0,4,6147,1,0,0,0,132,0,754,0,6268,1940,2535,10411,1,0,1,3378,0,57512,4401,2697,5005,1,0,0,1,0,7973,482,0,1,1556,0,118,61,10,3,0,0,0,1,393,1,258,2596,401,0,5209
Hi_GW16_20,242,1018,12,0,0,2,2992,1,38638,2777,1277,5,3066,2771,802,1,0,3485,2385,9951,213,3853,1793,0,0,1,0,0,3802,0,38928,4202,0,809,781,987,0,13,811,3718,8707,2,173,1382,1,1,0,1590,1958,2,1,2,0,3587,0,1,6864,0,0,92
Hi_GW16_16,1,0,0,0,626,1,0,0,26276,6674,85,4,1452,3882,4530,1,0,1359,0,1296,2691,919,2891,0,2,0,1,207,1661,0,22128,4943,2528,1,3440,3534,1175,0,45,2062,1034,0,2851,1486,1097,1,3,4342,262,0,0,546,626,1,1475,419,3047,0,0,15
Hi_GW16_18,3377,0,6,0,4476,5,192,1074,10717,1970,4284,322,7503,975,25,0,3823,2055,776,938,2727,7528,3186,54,1377,266,0,433,814,1,18413,487,0,2163,148,62,764,1,2,1278,3579,17,4890,5671,0,0,39,36,25,3,14,1078,457,1752,0,896,0,353,375,2867
Hi_GW16_4,1708,2057,91,112,76,1979,0,1030,20192,6488,1498,4,3887,4453,2320,0,0,0,0,1488,5417,1278,7030,23,772,2,0,1,1800,4703,42347,406,1,310,6269,982,0,0,1,801,3,0,6728,1836,0,0,0,0,1064,0,24,1,2,0,0,3740,0,0,0,175
Hi_GW16_3,6437,3110,2,0,3,11,6105,11079,2948,7159,874,96,28159,9364,22666,0,0,1,0,93,1305,10376,10179,0,0,11431,285,0,2652,1,3099,9320,13042,7429,979,1507,0,0,1,513,23193,3173,12297,6,1990,84,0,0,0,6569,17675,1,12935,4891,4,0,11048,48,0,33465
Hi_GW16_11,0,0,1,0,0,1,280,2715,0,4799,0,0,8846,0,0,0,2,6461,0,17759,306,2606,9653,0,0,0,0,0,3503,0,0,1220,4657,0,888,157,117,0,13550,6323,5083,0,0,14310,0,0,0,0,0,0,0,0,0,0,21717,0,0,6370,5140,0
Hi_GW21_4,0,0,23,2,1192,12,333,0,225,5934,0,0,10343,0,0,3057,243,0,0,13261,74400,9390,15462,51,3,0,0,0,711,5,4,4,8721,0,7781,2421,4434,157,7477,0,0,3630,12484,2,0,0,0,8595,0,0,0,2512,3320,6,0,30148,19890,3972,9220,0
Hi_GW21_5,3,1,13,0,1598,5,457,5,34670,4644,0,6,205,0,1,0,0,0,5501,3975,38562,0,3668,1,4,1,0,7303,5356,1,17517,0,0,3971,2842,3,933,1836,8084,0,3,0,695,3,1,2,238,5341,0,1,0,4,680,1,0,3183,115,1,3846,2
Hi_GW16_1,2643,0,7819,0,0,6396,0,0,333,1,0,1,1,0,1,0,0,0,0,0,1,1,0,470,0,1,0,743,0,988,1065,187,1131,0,2,3686,0,32,0,0,335,0,2,1,0,0,0,0,0,0,1,4961,1,11,0,234,5899,0,3265,3
Hi_GW16_19,0,602,2650,1,1,4549,0,0,5574,16162,1,0,1,0,0,265,0,0,1,85,0,1,0,3770,0,0,1,0,1,1355,3225,0,644,0,0,7569,0,0,1183,1,2,0,2,2,0,0,5,7603,39,0,0,1,0,25,0,0,0,0,1,0
Hi_GW21_7,0,0,27196,0,2,3066,0,1,1460,1,0,0,5,3180,1,0,0,1,1,1,9,1,15,6034,2,0,0,2,3,2486,91,0,429,1,1,0,0,1110,1888,0,2124,0,12,2501,0,1,305,93,0,0,0,4791,656,1258,1,1683,1,1,0,0
Hi_GW16_21,0,2,48746,0,0,7120,0,0,566,3900,0,1,1920,247,1794,9099,1,2,1,0,3,2,1,0,3,1,0,0,0,2,8,286,69,0,4,0,0,0,72,1,3,0,0,1,0,0,0,2849,674,0,0,0,5584,1,0,4,2,0,0,0
Hi_GW16_5,0,0,35541,0,1115,21022,1,0,1714,2,0,0,6572,0,771,1828,1,0,1,1,10,1,3,4104,1908,0,0,1,0,1522,0,0,1,0,1,0,3,0,8627,3285,0,1,4,0,0,0,0,226,0,0,0,0,3,1,1,4994,4,2741,0,101
Hi_GW16_12,0,1,23101,0,0,23476,0,1,910,1422,0,0,0,4074,0,1504,0,0,0,0,0,0,0,0,0,0,1,16,2,157,1,2,0,0,0,0,0,0,0,159,813,1,0,0,0,0,0,20,1,0,0,995,22,777,0,9960,0,0,0,0
Hi_GW16_24,0,815,39512,0,0,1501,1,2577,2,4024,0,0,980,7874,127,3906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1558,1,0,1715,0,1,0,0,1518,1,1252,0,3891,0,0,0,0,0,0,0,0,0,3863,1693,0,1,0,0,0,1
Hi_GW16_8,2,1660,53392,1,1,59110,0,2,3,2501,0,4,3,0,0,0,0,1,0,0,0,0,0,0,32279,0,0,0,0,14040,2,4,2389,0,0,0,0,2,14,5433,8,1,1,2,1,0,88,3,35,0,0,1,0,2,0,0,0,1,0,0
Hi_GW21_3,0,0,50422,0,0,3201,0,0,1085,1436,4,0,3998,0,0,0,0,1,0,0,31,0,1971,932,1,0,0,1,232,9385,4,0,0,3610,0,2138,0,0,1,1406,0,0,6,0,0,0,0,133,0,0,0,1,0,1828,2,0,1,0,0,10
Hi_GW21_1,0,0,48051,5902,3963,17073,0,0,18865,6573,0,0,9641,5007,16,0,0,0,1246,2,8,0,1873,31,0,0,0,11479,2193,80,1582,0,0,0,0,0,1,2566,8766,0,0,1,3,0,0,0,1,0,0,0,0,0,0,12553,0,4,3,1,2,0
Hi_GW21_2,1,0,34659,0,3682,4893,0,1,13236,673,0,4,9,6,1,0,1,1222,0,1,6,0,8,2743,5956,2,1,1746,0,5,6,0,2,1,0,4597,0,4,4,94,4,2157,0,15002,0,0,0,6518,0,2,0,6,5330,1,0,3,0,2,1,0
Hi_GW21+3_3,1,0,9,0,1,7151,39,1,310,5752,2,8,3241,48,83,0,0,1936,0,0,1,2,5,474,0,8,0,226,1,0,11,1,2523,2,0,0,0,1,0,1,1105,29,5,3192,0,4,7130,0,1,0,0,0,964,0,18023,0,98,48,1110,0
Hi_GW16_23,0,0,2,0,0,2289,0,0,627,0,0,0,0,0,1643,0,0,0,0,2,0,0,1,0,0,0,51,1,0,0,20,0,0,0,1,12,0,89,0,4602,0,0,0,0,0,0,12,1,0,0,1,0,2893,0,0,0,2857,2,792,0
Hi_GW16_26,0,0,1128,0,0,882,0,0,12777,0,0,7,1,0,1,0,0,1,0,0,1,0,0,1785,0,0,0,3091,2,0,321,0,2,7,1,1,0,0,11429,2,0,0,0,21334,0,0,3,2,0,1,1,0,10173,567,0,3665,0,974,0,0
Hi_GW16_10,0,2,2039,0,0,661,0,3,7,1078,0,0,2,1,0,0,0,0,0,2,7,0,3,1,12,0,0,2,0,8,3,0,1,1,0,0,0,0,9151,84,6768,0,9,955,0,0,0,2482,0,0,0,1,2,1,0,0,712,0,2,1
Hi_GW16_9,0,0,10267,0,0,85,0,0,2,1,0,0,1,1,0,0,0,0,0,0,2,1,1,1130,0,0,0,0,1,1,0,0,0,0,0,1,0,1072,0,0,53,0,0,5157,0,0,0,0,0,0,0,0,35,3,5547,2,1,2,3,0
Hi_GW16_7,0,0,2018,1,0,17813,1,2,22,1,0,0,6,0,0,0,0,0,1,0,2,0,0,0,6,0,0,0,974,0,2,0,0,0,16,1,1,3860,0,0,0,0,1,2266,1,0,0,142,0,0,0,0,9283,11,0,2,0,6155,0,0
Hi_GW21_6,0,0,948,0,1,978,2,0,1087,3,0,0,293,2,92,0,0,22,0,4,5,1,2,129,2,1,0,40,2,639,139,2,2,1,2,10,0,0,308,8,2,21,37,48,0,0,0,2,68,1,0,4,3,0,0,2,8,0,259,1
Hi_GW21+3_1,1109,0,1356,871,4,13385,6,460,12,16,743,7,211,1800,8,0,0,1395,656,0,0,1,3,1331,1647,4,4,2,2,1147,943,9,2272,1,0,2,0,1442,282,0,1869,0,0,691,0,0,4310,0,2,0,2,2,0,3,4521,0,505,12,4191,0
Hi_GW21+3_13,3,4,4043,0,15,12230,7,611,298,2,1,17,908,2,215,0,0,600,5,0,1,2,6,4270,307,3,2,569,1,1976,19,6,1776,1,0,4421,0,976,1,764,978,3,0,1312,23,3,8874,2822,0,0,4,1,169,242,1677,1438,28,1292,717,471
Hi_GW21+3_12,2,1,868,0,2,8495,0,1,2,1074,0,887,1453,2100,1069,277,0,1475,0,0,0,1,1,721,683,0,0,0,2,1297,6,0,822,1,0,2444,0,935,672,0,1443,0,1,1306,0,0,9335,1887,0,0,0,595,0,0,3431,170,18,574,535,11
Hi_GW21+3_14,0,0,6304,0,1171,12053,1,283,2,215,2,3,1,1937,799,17,0,708,0,0,0,1,89,1388,909,1,0,1854,1,428,1,0,35,288,1,926,0,222,1442,0,1993,1,1,1011,176,1,6516,763,0,0,0,444,127,1,3626,133,556,0,1284,1
Hi_GW21+3_16,72,864,9,1,6,4118,4,0,1,1975,1,81,4,590,1726,2,0,817,20,2,0,1,7,2634,155,4,0,781,2,2569,10,1,741,1,0,137,0,1,0,0,2,0,3,234,0,0,401,490,0,0,0,6,0,0,628,635,537,7,0,1
Hi_GW21+3_8,0,1686,676,876,710,23581,0,0,57,2400,0,1,3,2061,1392,0,0,3134,0,0,0,1,2,4188,2,1,0,7701,0,999,6,0,0,0,0,7,0,60,1155,0,0,0,2,1384,1107,0,4328,3874,0,0,0,0,1,0,4016,135,3879,2240,841,426
Hi_GW21+3_6,140,2,9,0,2,16276,7,1,10,186,289,1,13,2,2647,0,0,2555,898,0,0,2,1,3330,0,3,0,5731,0,4982,17,5,1,0,0,7,0,2412,0,1,2277,0,1,3,1356,1,8977,1,0,0,2,1,1978,302,1376,3054,1624,3022,3132,2000
Hi_GW21+3_10,633,2,25355,2,4,10649,16,0,5,11,0,14,3260,0,3501,0,4,0,3208,0,1,2114,28,579,2,22,0,2,6,1741,31,0,3,0,0,2698,0,1,7886,0,158,0,10,1,0,4,2070,3,0,1,0,0,1464,0,1,0,23,1,0,1
Hi_GW21+3_5,0,0,14642,0,28,18032,0,1,595,1392,0,1,1,0,0,1,0,3048,3774,0,0,2023,5,3439,765,0,0,7296,0,4119,2,0,1,1680,0,6821,0,0,6492,0,8394,0,2,0,1976,344,329,1,656,0,0,1,1,0,139,3899,5994,6,1995,0
Hi_GW21+3_9,0,0,4019,0,1,16142,1,1,405,2,199,3,2,10159,930,1,0,8766,0,0,0,0,2,1984,751,1,1,9834,0,6463,5,0,3792,0,1,0,0,232,6984,0,0,0,0,50,1819,927,9277,4514,0,0,0,0,615,1691,8618,0,3386,0,2078,0
Hi_GW21+3_7,1,1,8016,0,0,9205,1,1,55,177,0,571,6,8372,0,0,0,0,0,0,0,0,2,5654,3922,0,0,6101,0,3544,5,0,1,0,0,3,0,434,1823,0,1,0,0,1,0,0,2102,7,0,1,1,0,1998,0,3387,0,2,1315,12,169
